Time elapsed: 5s,  Nodes searched: 115,464
Time elapsed: 10s,  Nodes searched: 227,859
Time elapsed: 15s,  Nodes searched: 344,974
Time elapsed: 20s,  Nodes searched: 463,455
Time elapsed: 25s,  Nodes searched: 575,681
Time elapsed: 30s,  Nodes searched: 689,897
Time elapsed: 35s,  Nodes searched: 804,096
Time elapsed: 40s,  Nodes searched: 919,922
Time elapsed: 45s,  Nodes searched: 1,030,531
Time elapsed: 50s,  Nodes searched: 1,144,822
Time elapsed: 55s,  Nodes searched: 1,260,785
Time elapsed: 60s,  Nodes searched: 1,377,150
Time elapsed: 65s,  Nodes searched: 1,492,883
Time elapsed: 70s,  Nodes searched: 1,607,599
Time elapsed: 75s,  Nodes searched: 1,724,735
Time elapsed: 80s,  Nodes searched: 1,840,820
Time elapsed: 85s,  Nodes searched: 1,955,841
Time elapsed: 90s,  Nodes searched: 2,068,223
Time elapsed: 95s,  Nodes searched: 2,176,738
Time elapsed: 100s,  Nodes searched: 2,290,438
Time elapsed: 105s,  Nodes searched: 2,396,684
Time elapsed: 110s,  Nodes searched: 2,512,853
Time elapsed: 115s,  Nodes searched: 2,630,675
Time elapsed: 120s,  Nodes searched: 2,746,582
Time elapsed: 125s,  Nodes searched: 2,858,996
Time elapsed: 130s,  Nodes searched: 2,974,000
Time elapsed: 135s,  Nodes searched: 3,076,242
Time elapsed: 140s,  Nodes searched: 3,190,477
Time elapsed: 145s,  Nodes searched: 3,303,723
Time elapsed: 150s,  Nodes searched: 3,415,728
Time elapsed: 155s,  Nodes searched: 3,535,300
Time elapsed: 160s,  Nodes searched: 3,655,486
Time elapsed: 165s,  Nodes searched: 3,778,120
Time elapsed: 170s,  Nodes searched: 3,902,561
Time elapsed: 175s,  Nodes searched: 4,025,723
Time elapsed: 180s,  Nodes searched: 4,152,322
Time elapsed: 185s,  Nodes searched: 4,277,787
Time elapsed: 190s,  Nodes searched: 4,402,358
Time elapsed: 195s,  Nodes searched: 4,527,594
Time elapsed: 200s,  Nodes searched: 4,654,900
Time elapsed: 205s,  Nodes searched: 4,781,184
Time elapsed: 210s,  Nodes searched: 4,910,032
Time elapsed: 215s,  Nodes searched: 5,038,326
Time elapsed: 220s,  Nodes searched: 5,159,935
Time elapsed: 225s,  Nodes searched: 5,286,952
Time elapsed: 230s,  Nodes searched: 5,414,439
Time elapsed: 235s,  Nodes searched: 5,542,392
Time elapsed: 240s,  Nodes searched: 5,668,316
Time elapsed: 245s,  Nodes searched: 5,795,630
Time elapsed: 250s,  Nodes searched: 5,917,949
Time elapsed: 255s,  Nodes searched: 6,045,314
Time elapsed: 260s,  Nodes searched: 6,173,521
Time elapsed: 265s,  Nodes searched: 6,300,223
Time elapsed: 270s,  Nodes searched: 6,423,457
Time elapsed: 275s,  Nodes searched: 6,550,533
Time elapsed: 280s,  Nodes searched: 6,679,200
Time elapsed: 285s,  Nodes searched: 6,807,400
Time elapsed: 290s,  Nodes searched: 6,933,175
Time elapsed: 295s,  Nodes searched: 7,052,882
Time elapsed: 300s,  Nodes searched: 7,171,249
Time elapsed: 305s,  Nodes searched: 7,290,076
Time elapsed: 310s,  Nodes searched: 7,409,348
Time elapsed: 315s,  Nodes searched: 7,530,742
Time elapsed: 320s,  Nodes searched: 7,652,716
Time elapsed: 325s,  Nodes searched: 7,775,832
Time elapsed: 330s,  Nodes searched: 7,901,546
Time elapsed: 335s,  Nodes searched: 8,029,184
Time elapsed: 340s,  Nodes searched: 8,155,202
Time elapsed: 345s,  Nodes searched: 8,278,506
Time elapsed: 350s,  Nodes searched: 8,400,395
Time elapsed: 355s,  Nodes searched: 8,527,367
Time elapsed: 360s,  Nodes searched: 8,655,051
Time elapsed: 365s,  Nodes searched: 8,782,457
Time elapsed: 370s,  Nodes searched: 8,903,499
Time elapsed: 375s,  Nodes searched: 9,027,676
Time elapsed: 380s,  Nodes searched: 9,153,453
Time elapsed: 385s,  Nodes searched: 9,278,795
Time elapsed: 390s,  Nodes searched: 9,406,222
Time elapsed: 395s,  Nodes searched: 9,527,675
Time elapsed: 400s,  Nodes searched: 9,653,286
Time elapsed: 405s,  Nodes searched: 9,779,755
Time elapsed: 410s,  Nodes searched: 9,906,843
Time elapsed: 415s,  Nodes searched: 10,030,196
Time elapsed: 420s,  Nodes searched: 10,149,737
Time elapsed: 425s,  Nodes searched: 10,268,160
Time elapsed: 430s,  Nodes searched: 10,384,868
Time elapsed: 435s,  Nodes searched: 10,505,925
Time elapsed: 440s,  Nodes searched: 10,628,294
Time elapsed: 445s,  Nodes searched: 10,750,068
Time elapsed: 450s,  Nodes searched: 10,869,761
Time elapsed: 455s,  Nodes searched: 10,996,286
Time elapsed: 460s,  Nodes searched: 11,123,148
Time elapsed: 465s,  Nodes searched: 11,250,441
Time elapsed: 470s,  Nodes searched: 11,372,812
Time elapsed: 475s,  Nodes searched: 11,495,481
Time elapsed: 480s,  Nodes searched: 11,618,663
Time elapsed: 485s,  Nodes searched: 11,744,251
Time elapsed: 490s,  Nodes searched: 11,870,694
Time elapsed: 495s,  Nodes searched: 11,995,255
Time elapsed: 500s,  Nodes searched: 12,117,940
Time elapsed: 505s,  Nodes searched: 12,245,225
Time elapsed: 510s,  Nodes searched: 12,371,995
Time elapsed: 515s,  Nodes searched: 12,496,501
Time elapsed: 520s,  Nodes searched: 12,622,544
Time elapsed: 525s,  Nodes searched: 12,751,113
Time elapsed: 530s,  Nodes searched: 12,877,660
Time elapsed: 535s,  Nodes searched: 12,999,907
Time elapsed: 540s,  Nodes searched: 13,122,834
Time elapsed: 545s,  Nodes searched: 13,248,325
Time elapsed: 550s,  Nodes searched: 13,374,369
Time elapsed: 555s,  Nodes searched: 13,494,229
Time elapsed: 560s,  Nodes searched: 13,612,945
Time elapsed: 565s,  Nodes searched: 13,732,159
Time elapsed: 570s,  Nodes searched: 13,851,438
Time elapsed: 575s,  Nodes searched: 13,973,145
Time elapsed: 580s,  Nodes searched: 14,093,580
Time elapsed: 585s,  Nodes searched: 14,215,415
Time elapsed: 590s,  Nodes searched: 14,339,266
Time elapsed: 595s,  Nodes searched: 14,461,591
Time elapsed: 600s,  Nodes searched: 14,584,795
